"yorf","gene","beckmannHi","beckmannLo","hogan","tsvetanova","mitchell","score","RNAbinding","essential","desc"
"YKL074C","MUD2",TRUE,TRUE,TRUE,TRUE,TRUE,3,"nonclassicalRBD",FALSE,"Protein involved in early pre-mRNA splicing; component of the pre-mRNA-U1 snRNP complex, the commitment complex; interacts with Msl5p/BBP splicing factor and Sub2p; similar to metazoan splicing factor U2AF65"
"YML117W","NAB6",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Putative RNA-binding protein; associates with mRNAs encoding cell wall proteins in high-throughput studies; deletion mutants display increased sensitivity to some cell wall disrupting agents; expression negatively regulated by cAMP"
"YBL032W","HEK2",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K"
"YBR212W","NGR1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; interacts with Dhh1p to mediate POR1 mRNA decay; expressed in stationary phase"
"YBR233W","PBP2",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"RNA binding protein; has similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length; relative distribution to the nucleus increases upon DNA replication stress"
"YCL011C","GBP2",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Poly(A+) RNA-binding protein; key surveillance factor for the selective export of spliced mRNAs from the nucleus to the cytoplasm; preference for intron-containing genes; similar to Npl3p; also binds single-stranded telomeric repeat sequence in vitro; relocalizes to the cytosol in response to hypoxia; GBP2 has a paralog, HRB1, that arose from the whole genome duplication"
"YDR432W","NPL3",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"RNA-binding protein; promotes elongation, regulates termination, and carries poly(A) mRNA from nucleus to cytoplasm; represses translation initiation by binding eIF4G; required for pre-mRNA splicing; interacts with E3 ubiquitin ligase Bre1p, linking histone ubiquitination to mRNA processing; may have role in telomere maintenance; dissociation from mRNAs promoted by Mtr10p; phosphorylated by Sky1p in cytoplasm; protein abundance increases in response to DNA replication stress"
"YDR496C","PUF6",FALSE,TRUE,TRUE,TRUE,TRUE,3,"nonclassicalRBD",FALSE,"Pumilio-homology domain protein; binds the 3' UTR of ASH1 mRNA and represses its translation, resulting in proper asymmetric localization of ASH1 mRNA; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; co-sediments with the 60S ribosomal subunit and is required for its biogenesis"
"YGL014W","PUF4",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"
"YGL178W","MPT5",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"mRNA-binding protein of the PUF family; binds to specific mRNAs, often in the 3' UTR; has broad specificity and binds to more than 1000 mRNAs (16% of the transcriptome); recruits the CCR4-NOT deadenylase complex to mRNAs along with Dhh1p and Dcp1p to promote deadenylation, decapping, and decay; also interacts with the Caf20p translational initiation repressor, affecting its mRNA target specificity"
"YGR159C","NSR1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Nucleolar protein that binds nuclear localization sequences; required for pre-rRNA processing and ribosome biogenesis; binds to single stranded telomeric DNA and mRNA; methylated by Hmt1p; interaction with Top1p and nucleolar localization are negatively regulated by polyphosphorylation"
"YGR250C","RIE1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Putative RNA binding protein; localizes to stress granules induced by glucose deprivation; interacts with Rbg1p in a two-hybrid assay; protein abundance increases in response to DNA replication stress"
"YHL034C","SBP1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Protein that binds eIF4G and has a role in repression of translation; has an RGG motif; found in cytoplasmic P bodies; binds to mRNAs under glucose starvation stress, most often in the 5' UTR; found associated with small nucleolar RNAs snR10 and snR11; SBP1 has a paralog, RNP1, that arose from the whole genome duplication"
"YJL010C","NOP9",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",TRUE,"Essential subunit of U3-containing 90S preribosome; involved in production of 18S rRNA and assembly of small ribosomal subunit; also part of pre-40S ribosome and required for its export into cytoplasm; binds RNA and contains pumilio domain"
"YJL080C","SCP160",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Essential RNA-binding G protein effector of mating response pathway; ligand-activated RNA-binding protein that delivers RNAs involved in polarization and perpetualizing mating signal to shmoo tip during pheromone signaling; Scp160p-mediated RNA trafficking essential for chemotropism and successful mating; mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins"
"YJR091C","JSN1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Member of the Puf family of RNA-binding proteins; interacts with mRNAs encoding membrane-associated proteins; involved in localizing the Arp2/3 complex to mitochondria; overexpression causes increased sensitivity to benomyl; JSN1 has a paralog, PUF2, that arose from the whole genome duplication"
"YLL013C","PUF3",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Protein of the mitochondrial outer surface; links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins"
"YLL032C","",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL032C is not an essential gene"
